"date","county","totalCases","totalDeaths","newCases","vaxInit","vaxCompleted","posTestRatio","caseDensity","infectionRate","infectionRateCI90","riskLevelOverall","vaxInitiatedRatio","vaxCompletedRatio","newDeaths","vaxAdministered","riskLevelCaseDensity","cdcTransmissionLevel","vaxAddDose","vaxAddDoseRatio"
2020-03-01,"New Jersey",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA
2020-03-02,"New Jersey",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA
2020-03-03,"New Jersey",NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA
2020-03-04,"New Jersey",1,0,NA,NA,NA,0.182,0,NA,NA,0,NA,NA,NA,NA,0,3,NA,NA
2020-03-05,"New Jersey",2,0,1,NA,NA,0.2,0,NA,NA,0,NA,NA,0,NA,0,3,NA,NA
2020-03-06,"New Jersey",4,0,2,NA,NA,0.211,0,2.28,0.7,0,NA,NA,0,NA,0,3,NA,NA
2020-03-07,"New Jersey",4,0,0,NA,NA,0.172,0,2.32,0.53,0,NA,NA,0,NA,0,3,NA,NA
2020-03-08,"New Jersey",6,0,2,NA,NA,0.176,0,2.35,0.46,0,NA,NA,0,NA,0,3,NA,NA
2020-03-09,"New Jersey",11,0,5,NA,NA,0.333,0,2.38,0.45,0,NA,NA,0,NA,0,3,NA,NA
2020-03-10,"New Jersey",15,1,4,NA,NA,0.4,0,2.41,0.47,0,NA,NA,1,NA,0,3,NA,NA
2020-03-11,"New Jersey",23,1,8,NA,NA,0.333,0,2.43,0.33,0,NA,NA,0,NA,0,3,NA,NA
2020-03-12,"New Jersey",29,1,6,NA,NA,0.25,0,2.44,0.32,0,NA,NA,0,NA,0,3,NA,NA
2020-03-13,"New Jersey",50,1,21,NA,NA,0.25,0.1,2.44,0.29,0,NA,NA,0,NA,0,3,NA,NA
2020-03-14,"New Jersey",75,2,25,NA,NA,0.25,0.1,2.44,0.27,0,NA,NA,1,NA,0,3,NA,NA
2020-03-15,"New Jersey",98,2,23,NA,NA,0.2,0.1,2.43,0.21,0,NA,NA,0,NA,0,3,NA,NA
2020-03-16,"New Jersey",176,3,78,NA,NA,0.2,0.3,2.41,0.15,0,NA,NA,1,NA,0,3,NA,NA
2020-03-17,"New Jersey",268,3,92,NA,NA,0.5,0.4,2.38,0.2,0,NA,NA,0,NA,0,3,NA,NA
2020-03-18,"New Jersey",427,5,159,NA,NA,0.4,0.6,2.34,0.15,0,NA,NA,2,NA,0,3,NA,NA
2020-03-19,"New Jersey",735,9,308,NA,NA,0.387,1.1,2.31,0.12,3,NA,NA,4,NA,1,3,NA,NA
2020-03-20,"New Jersey",896,11,161,NA,NA,0.419,1.4,2.25,0.1,3,NA,NA,2,NA,1,3,NA,NA
2020-03-21,"New Jersey",1336,16,440,NA,NA,0.475,2,2.19,0.1,3,NA,NA,5,NA,1,3,NA,NA
2020-03-22,"New Jersey",1914,20,578,NA,NA,0.5,2.9,2.12,0.1,3,NA,NA,4,NA,1,3,NA,NA
2020-03-23,"New Jersey",2844,27,930,NA,NA,0.506,4.3,2.05,0.1,3,NA,NA,7,NA,1,3,NA,NA
2020-03-24,"New Jersey",3675,44,831,NA,NA,0.518,5.5,1.98,0.1,3,NA,NA,17,NA,1,3,NA,NA
2020-03-25,"New Jersey",4402,62,727,NA,NA,0.541,6.4,1.91,0.1,3,NA,NA,18,NA,1,3,NA,NA
2020-03-26,"New Jersey",6876,82,2474,NA,NA,0.518,9.9,1.83,0.1,3,NA,NA,20,NA,1,3,NA,NA
2020-03-27,"New Jersey",8825,108,1949,NA,NA,0.539,12.8,1.76,0.1,3,NA,NA,26,NA,2,3,NA,NA
2020-03-28,"New Jersey",11124,140,2299,NA,NA,0.51,15.7,1.69,0.1,3,NA,NA,32,NA,2,3,NA,NA
2020-03-29,"New Jersey",13386,161,2262,NA,NA,0.52,18.5,1.62,0.1,3,NA,NA,21,NA,2,3,NA,NA
2020-03-30,"New Jersey",16636,199,3250,NA,NA,0.5,22.2,1.55,0.1,3,NA,NA,38,NA,2,3,NA,NA
2020-03-31,"New Jersey",18696,267,2060,NA,NA,0.498,24.2,1.49,0.1,3,NA,NA,68,NA,2,3,NA,NA
2020-04-01,"New Jersey",22255,355,3559,NA,NA,0.471,28.7,1.43,0.1,3,NA,NA,88,NA,3,3,NA,NA
2020-04-02,"New Jersey",25590,539,3335,NA,NA,0.483,30.1,1.37,0.1,3,NA,NA,184,NA,3,3,NA,NA
2020-04-03,"New Jersey",29895,647,4305,NA,NA,0.491,33.9,1.32,0.1,3,NA,NA,108,NA,3,3,NA,NA
2020-04-04,"New Jersey",34124,847,4229,NA,NA,0.494,37,1.27,0.1,3,NA,NA,200,NA,3,3,NA,NA
2020-04-05,"New Jersey",37505,917,3381,NA,NA,0.522,38.8,1.23,0.1,3,NA,NA,70,NA,3,3,NA,NA
2020-04-06,"New Jersey",41090,1005,3585,NA,NA,0.526,39.3,1.19,0.1,3,NA,NA,88,NA,3,3,NA,NA
2020-04-07,"New Jersey",44416,1232,3326,NA,NA,0.532,41.4,1.16,0.1,3,NA,NA,227,NA,3,3,NA,NA
2020-04-08,"New Jersey",47437,1504,3021,NA,NA,0.563,40.5,1.13,0.1,3,NA,NA,272,NA,3,3,NA,NA
2020-04-09,"New Jersey",51027,1700,3590,NA,NA,0.574,40.9,1.1,0.1,3,NA,NA,196,NA,3,3,NA,NA
2020-04-10,"New Jersey",54588,1932,3561,NA,NA,0.559,39.7,1.08,0.1,3,NA,NA,232,NA,3,3,NA,NA
2020-04-11,"New Jersey",58151,2183,3563,NA,NA,0.553,38.6,1.06,0.1,3,NA,NA,251,NA,3,3,NA,NA
2020-04-12,"New Jersey",61850,2350,3699,NA,NA,0.543,39.2,1.04,0.1,3,NA,NA,167,NA,3,3,NA,NA
2020-04-13,"New Jersey",64584,2443,2734,NA,NA,0.529,37.8,1.02,0.1,3,NA,NA,93,NA,3,3,NA,NA
2020-04-14,"New Jersey",68824,2805,4240,NA,NA,0.508,39.3,1.01,0.1,3,NA,NA,362,NA,3,3,NA,NA
2020-04-15,"New Jersey",71030,3156,2206,NA,NA,0.456,37.9,1,0.1,3,NA,NA,351,NA,3,3,NA,NA
2020-04-16,"New Jersey",75317,3518,4287,NA,NA,0.423,39.1,0.99,0.1,3,NA,NA,362,NA,3,3,NA,NA
2020-04-17,"New Jersey",78467,3840,3150,NA,NA,0.43,38.4,0.98,0.1,3,NA,NA,322,NA,3,3,NA,NA
2020-04-18,"New Jersey",81420,4070,2953,NA,NA,0.399,37.4,0.97,0.1,3,NA,NA,230,NA,3,3,NA,NA
2020-04-19,"New Jersey",85301,4202,3881,NA,NA,0.382,37.7,0.96,0.1,3,NA,NA,132,NA,3,3,NA,NA
2020-04-20,"New Jersey",88806,4377,3505,NA,NA,0.352,39,0.95,0.1,3,NA,NA,175,NA,3,3,NA,NA
2020-04-21,"New Jersey",92387,4753,3581,NA,NA,0.333,37.9,0.94,0.1,3,NA,NA,376,NA,3,3,NA,NA
2020-04-22,"New Jersey",95865,5063,3478,NA,NA,0.335,39.9,0.93,0.1,3,NA,NA,310,NA,3,3,NA,NA
2020-04-23,"New Jersey",99989,5368,4124,NA,NA,0.326,39.7,0.92,0.1,3,NA,NA,305,NA,3,3,NA,NA
2020-04-24,"New Jersey",102196,5617,2207,NA,NA,0.311,38.2,0.91,0.1,3,NA,NA,249,NA,3,3,NA,NA
2020-04-25,"New Jersey",105523,5863,3327,NA,NA,0.322,38.8,0.89,0.1,3,NA,NA,246,NA,3,3,NA,NA
2020-04-26,"New Jersey",109038,5938,3515,NA,NA,0.303,38.2,0.88,0.1,3,NA,NA,75,NA,3,3,NA,NA
2020-04-27,"New Jersey",111188,6044,2150,NA,NA,0.251,36,0.87,0.1,3,NA,NA,106,NA,3,3,NA,NA
2020-04-28,"New Jersey",113856,6442,2668,NA,NA,0.237,34.5,0.86,0.1,3,NA,NA,398,NA,3,3,NA,NA
2020-04-29,"New Jersey",116264,6770,2408,NA,NA,0.239,32.8,0.84,0.1,3,NA,NA,328,NA,3,3,NA,NA
2020-04-30,"New Jersey",118652,7228,2388,NA,NA,0.235,30,0.83,0.1,3,NA,NA,458,NA,3,3,NA,NA
2020-05-01,"New Jersey",121190,7538,2538,NA,NA,0.235,30.5,0.82,0.1,3,NA,NA,310,NA,3,3,NA,NA
2020-05-02,"New Jersey",123717,7742,2527,NA,NA,0.234,29.3,0.81,0.1,3,NA,NA,204,NA,3,3,NA,NA
2020-05-03,"New Jersey",126744,7871,3027,NA,NA,0.23,28.5,0.8,0.1,3,NA,NA,129,NA,3,3,NA,NA
2020-05-04,"New Jersey",128269,7910,1525,NA,NA,0.228,27.5,0.79,0.1,3,NA,NA,39,NA,3,3,NA,NA
2020-05-05,"New Jersey",130593,8244,2324,NA,NA,0.222,26.9,0.78,0.1,3,NA,NA,334,NA,3,3,NA,NA
2020-05-06,"New Jersey",131890,8549,1297,NA,NA,0.211,25.1,0.78,0.1,3,NA,NA,305,NA,3,3,NA,NA
2020-05-07,"New Jersey",133635,8801,1745,NA,NA,0.199,24.1,0.77,0.1,2,NA,NA,252,NA,2,3,NA,NA
2020-05-08,"New Jersey",135454,8952,1819,NA,NA,0.185,22.9,0.77,0.1,2,NA,NA,151,NA,2,3,NA,NA
2020-05-09,"New Jersey",137085,9116,1631,NA,NA,0.175,21.5,0.77,0.1,2,NA,NA,164,NA,2,3,NA,NA
2020-05-10,"New Jersey",138532,9255,1447,NA,NA,0.172,19,0.77,0.1,2,NA,NA,139,NA,2,3,NA,NA
2020-05-11,"New Jersey",139945,9310,1413,NA,NA,0.164,18.8,0.78,0.1,2,NA,NA,55,NA,2,3,NA,NA
2020-05-12,"New Jersey",140743,9508,798,NA,NA,0.15,16.3,0.78,0.1,2,NA,NA,198,NA,2,3,NA,NA
2020-05-13,"New Jersey",141560,9702,817,NA,NA,0.141,15.6,0.79,0.1,2,NA,NA,194,NA,2,3,NA,NA
2020-05-14,"New Jersey",142704,9946,1144,NA,NA,0.132,14.6,0.79,0.1,2,NA,NA,244,NA,2,3,NA,NA
2020-05-15,"New Jersey",143905,10138,1201,NA,NA,0.12,13.6,0.8,0.1,2,NA,NA,192,NA,2,3,NA,NA
2020-05-16,"New Jersey",145089,10249,1184,NA,NA,0.113,12.9,0.81,0.1,2,NA,NA,111,NA,2,3,NA,NA
2020-05-17,"New Jersey",146334,10356,1245,NA,NA,0.109,12.5,0.82,0.1,2,NA,NA,107,NA,2,3,NA,NA
2020-05-18,"New Jersey",148039,10435,1705,NA,NA,0.103,13,0.82,0.1,2,NA,NA,79,NA,2,3,NA,NA
2020-05-19,"New Jersey",149013,10586,974,NA,NA,0.099,13.3,0.83,0.1,2,NA,NA,151,NA,2,2,NA,NA
2020-05-20,"New Jersey",150399,10747,1386,NA,NA,0.084,14.2,0.83,0.1,2,NA,NA,161,NA,2,2,NA,NA
2020-05-21,"New Jersey",151472,10843,1073,NA,NA,0.07,14.1,0.83,0.1,2,NA,NA,96,NA,2,2,NA,NA
2020-05-22,"New Jersey",152719,10985,1247,NA,NA,0.065,14.2,0.84,0.1,2,NA,NA,142,NA,2,2,NA,NA
2020-05-23,"New Jersey",153104,11081,385,NA,NA,0.062,12.9,0.83,0.1,2,NA,NA,96,NA,2,2,NA,NA
2020-05-24,"New Jersey",154154,11133,1050,NA,NA,0.06,12.6,0.83,0.1,2,NA,NA,52,NA,2,2,NA,NA
2020-05-25,"New Jersey",155092,11144,938,NA,NA,0.057,11.3,0.83,0.1,2,NA,NA,11,NA,2,2,NA,NA
2020-05-26,"New Jersey",155764,11191,672,NA,NA,0.052,10.9,0.82,0.1,2,NA,NA,47,NA,2,2,NA,NA
2020-05-27,"New Jersey",156628,11339,864,NA,NA,0.05,10,0.82,0.1,1,NA,NA,148,NA,1,2,NA,NA
2020-05-28,"New Jersey",157815,11401,1187,NA,NA,0.05,10.2,0.81,0.1,2,NA,NA,62,NA,2,2,NA,NA
2020-05-29,"New Jersey",158844,11531,1029,NA,NA,0.047,9.9,0.8,0.1,1,NA,NA,130,NA,1,2,NA,NA
2020-05-30,"New Jersey",159608,11634,764,NA,NA,0.046,10.5,0.79,0.1,2,NA,NA,103,NA,2,2,NA,NA
2020-05-31,"New Jersey",160445,11698,837,NA,NA,0.045,10.1,0.79,0.1,2,NA,NA,64,NA,2,2,NA,NA
2020-06-01,"New Jersey",160918,11721,473,NA,NA,0.044,9.4,0.78,0.1,1,NA,NA,23,NA,1,2,NA,NA
2020-06-02,"New Jersey",161545,11770,627,NA,NA,0.042,9.3,0.77,0.1,1,NA,NA,49,NA,1,2,NA,NA
2020-06-03,"New Jersey",162068,11880,523,NA,NA,0.041,8.7,0.76,0.1,1,NA,NA,110,NA,1,2,NA,NA
2020-06-04,"New Jersey",162530,11970,462,NA,NA,0.04,7.6,0.76,0.1,1,NA,NA,90,NA,1,2,NA,NA
2020-06-05,"New Jersey",163336,12049,806,NA,NA,0.038,7.2,0.76,0.1,1,NA,NA,79,NA,1,2,NA,NA
2020-06-06,"New Jersey",163893,12106,557,NA,NA,0.037,6.9,0.76,0.1,1,NA,NA,57,NA,1,1,NA,NA
2020-06-07,"New Jersey",164164,12176,271,NA,NA,0.037,6,0.76,0.1,1,NA,NA,70,NA,1,1,NA,NA
2020-06-08,"New Jersey",164497,12214,333,NA,NA,0.036,5.8,0.76,0.1,1,NA,NA,38,NA,1,1,NA,NA
2020-06-09,"New Jersey",164796,12303,299,NA,NA,0.035,5.2,0.76,0.1,1,NA,NA,89,NA,1,1,NA,NA
2020-06-10,"New Jersey",165346,12377,550,NA,NA,0.034,5.3,0.77,0.1,1,NA,NA,74,NA,1,1,NA,NA
2020-06-11,"New Jersey",165816,12443,470,NA,NA,0.033,5.3,0.77,0.1,1,NA,NA,66,NA,1,1,NA,NA
